Title,Release,BPM,ENERGY,DANCE,LOUD,VALENCE
Tribute,2015-12-18,-1.29,-1.56,-2.18,-2.14,-0.99
I'm Real,2015-12-18,-0.39,0.32,1.70,-0.36,1.35
Static - Pts. 1 & 2,2015-12-18,-0.25,0.95,1.41,0.24,1.39
Time to Get Busy,2015-12-18,-0.53,-0.22,1.64,-0.36,1.31
You and Me,2015-12-18,1.58,-0.85,0.21,0.04,0.87
Interview,2015-12-18,-1.08,-1.98,0.03,-3.53,0.57
She Looks All Types A' Good,2015-12-18,-0.15,0.57,1.35,-0.16,0.79
Keep Keepin',2015-12-18,-0.29,0.07,1.64,-0.36,1.39
Can't Git Enuf,2015-12-18,-0.56,-0.60,1.29,-0.36,0.87
It's Your Money$,2015-12-18,0.47,1.28,1.17,0.04,0.70
Godfather Runnin' the Joint,2015-12-18,-0.60,0.61,1.70,-0.76,1.56
Static - Single Version,2015-12-18,-0.29,0.95,1.76,0.24,1.35
Static - Full Force Remix,2015-12-18,-0.25,1.24,1.64,0.63,1.13
No Static - The 8 Minute Full Force Def Mix,2015-12-18,-0.25,1.28,1.52,0.43,0.61
I'm Real - Single Version,2015-12-18,-0.36,0.70,1.70,0.24,1.43
I'm Real - Special Version,2015-12-18,-0.36,0.57,1.70,0.04,1.52
Real - Full Force Hyped-Up Mix,2015-12-18,-0.36,1.03,1.58,0.24,0.74
Time to Get Busy - Single Version,2015-12-18,-0.53,0.11,1.64,0.04,1.26
Time to Get Busy - Full Force Remix,2015-12-18,-0.53,0.11,1.64,-0.16,1.31
Busy J.B. - Time to Get Get Mix,2015-12-18,-0.63,0.32,1.88,0.43,-0.43
Tribute - Special Version,2015-12-18,1.75,-1.81,-0.57,-2.34,0.14
Get Up I Feel Like Being Like A Sex Machine - Pts. 1 & 2,2014-07-29,-0.29,0.61,1.23,0.43,1.48
The Payback - Part 1,2014-07-29,-0.67,0.49,1.58,0.24,1.18
Out Of Sight,2014-07-29,0.47,0.11,0.21,0.43,1.61
I Got You (I Feel Good) - 1966 Version,2014-07-29,0.96,0.07,-0.33,0.43,0.96
Caldonia,2014-07-29,-1.43,0.95,-0.21,0.63,2.04
"Please Please Please - Live In Tampa, FL/1966",2014-07-29,0.92,1.20,-0.87,0.63,1.18
Night Train - Live At The Apollo Theater/1962,2014-07-29,2.10,0.95,-0.45,0.04,1.95
Papa's Got A Brand New Bag - Pt. 1,2014-07-29,0.44,0.61,0.87,0.04,1.78
"It's A Man's Man's Man's World - Live In Tampa, FL/1966",2014-07-29,-0.84,-0.97,-0.27,-0.16,-0.81
Cold Sweat - Pt. 1,2014-07-29,-0.15,-0.85,1.70,0.24,1.18
Mother Popcorn - Pt. 1,2014-07-29,-0.01,0.32,1.88,0.43,1.82
I Got The Feelin' - Live At Dallas Memorial Auditorium / 1968,2014-07-29,1.37,1.20,0.27,0.83,0.87
I Can't Stand Myself (When You Touch Me) - Live At Dallas Memorial Auditorium / 1968,2014-07-29,0.99,1.70,-0.09,0.83,0.31
Say It Loud - I'm Black And I'm Proud - Pt. 1,2014-07-29,-0.05,0.44,1.35,0.83,1.87
"Get Up (I Feel Like Being A) Sex Machine - Live At The Olympia Theatre, Paris/1971",2014-07-29,-0.12,1.28,1.05,0.83,0.44
"Super Bad - Live At The Olympia, Paris / 1971",2014-07-29,0.96,1.20,0.57,0.63,1.39
Soul Power - Live At The Apollo Theater/1971,2014-07-29,-0.05,1.41,0.21,0.83,0.40
Try Me - Live At The Apollo Theater/1967,2014-07-29,-1.15,-1.43,-1.77,0.04,-0.30
Please Please Please,2014-07-29,-0.25,-0.10,-0.27,0.63,0.92
Get Up Offa That Thing,2014-07-29,0.06,0.86,1.23,0.43,1.31
Introduction Of The J.B.’s By Danny Ray - Live At The Apollo Theater/1972,2014-01-01,-0.74,0.74,-0.45,0.24,1.13
Hot Pants Road - Live At The Apollo Theater/1972,2014-01-01,-0.12,1.45,0.27,0.43,1.82
From The Back Side - Live At The Apollo Theater/1972,2014-01-01,-0.01,0.70,-0.69,0.24,1.56
Wine Spot - Live At The Apollo Theater/1972,2014-01-01,0.65,0.57,-0.45,0.43,1.87
Introduction Of James Brown By Fred Wesley - Live At The Apollo Theater/1972,2014-01-01,0.26,0.32,0.81,0.63,1.91
Never Can Say Goodbye - Live At The Apollo Theater/1972,2014-01-01,-0.91,-0.89,0.45,-0.56,0.22
Pass The Peas - Live At The Apollo Theater/1972,2014-01-01,2.79,0.32,-0.87,0.04,1.43
Honky Tonk - Live At The Apollo Theater/1972,2014-01-01,0.37,1.32,-0.63,0.43,1.00
Introduction By James Brown - Live At The Apollo Theater/1972,2014-01-01,-2.64,-1.81,1.05,-1.35,-0.25
Gimme Some More - Live At The Apollo Theater/1972,2014-01-01,-0.32,0.44,0.21,0.24,1.69
There It Is - Live At The Apollo Theater/1972,2014-01-01,-0.12,1.41,0.27,0.83,0.53
Introduction Of Lyn Collins By Danny Ray - Live At The Apollo Theater/1972,2014-01-01,-1.22,0.61,0.21,0.63,1.35
Do Your Thing - Live At The Apollo Theater/1972,2014-01-01,1.13,0.61,-0.09,0.63,0.87
Think (About It) - Live At The Apollo Theater/1972,2014-01-01,0.02,1.20,-0.51,0.43,0.44
I'll Take You There - Live At The Apollo Theater/1972,2014-01-01,-0.01,1.03,0.45,0.83,1.48
Introduction Of Bobby Byrd By Danny Ray - Live At The Apollo Theater/1972,2014-01-01,-0.67,0.40,-0.21,0.63,2.04
I Know You Got Soul - Live At The Apollo Theater/1972,2014-01-01,0.20,1.36,0.33,0.43,1.35
(If Loving You Is Wrong) I Don’t Want To Be Right - Live At The Apollo Theater/1972,2014-01-01,0.23,-0.27,-0.51,0.43,0.18
Keep On Doin’ What You're Doin’ - Live At The Apollo Theater/1972,2014-01-01,0.26,0.95,0.09,0.04,1.00
Werld is Mine,2016-02-26,-0.88,-0.27,0.21,0.63,-1.33
Stronger Than Ever,2016-02-26,0.20,0.74,-1.17,0.83,-1.38
Bloodsport '15,2016-02-26,-0.84,-0.06,-0.15,0.63,-0.47
I Can Change,2016-02-26,-0.56,1.45,0.27,1.03,0.48
Keep it Simple,2016-02-26,-0.50,-0.22,0.87,1.03,0.96
The Greatest,2016-02-26,0.40,0.74,0.63,0.43,1.35
Never Better,2016-02-26,-0.46,0.99,-0.09,0.63,-0.25
Cowards,2016-02-26,-1.36,-0.31,0.03,0.24,-1.12
A Moor,2016-02-26,-0.74,-0.31,0.03,0.24,-1.12
Young & Stupid,2016-02-26,0.61,1.15,0.15,0.83,0.18
"You're a Man Now, Boy",2016-02-26,-1.77,-0.56,-1.88,0.43,-1.51
The Last Romance,2016-02-26,-0.43,-1.31,0.03,-1.15,-1.38
Never Say Die,2016-02-26,0.71,0.36,-0.09,0.24,-0.47
Life in a Box,2016-02-26,0.06,-0.01,0.93,0.43,0.35
The Chased,2016-02-26,0.65,-0.14,0.27,0.83,-0.73
Overdose,2016-02-26,-0.46,0.49,-1.71,0.43,-0.12
Birthday Girl,2016-02-26,-0.91,-0.06,-0.21,-0.36,-1.59
Stay Inside,2016-02-26,2.03,0.07,-0.57,-0.16,-0.90
Call If You Need Me,2018-02-23,-0.22,-0.01,0.75,0.63,-0.12
Lay It On Me,2018-02-23,0.40,0.36,0.63,0.63,0.18
We're Going Home,2018-02-23,2.55,0.44,-1.41,0.83,-0.25
Saturday Sun,2018-02-23,-0.56,1.20,0.09,1.03,0.96
Take Your Time,2018-02-23,-0.05,0.49,0.09,0.43,-0.73
I'm With You,2018-02-23,-0.22,-0.72,0.21,0.04,-1.59
Like Gold,2018-02-23,-0.22,0.57,-0.87,0.43,-0.34
Alone With Me,2018-02-23,0.89,-0.18,0.03,0.63,-1.90
Crashing Into You,2018-02-23,-0.39,0.28,0.33,0.83,-0.73
One Of These Days,2018-02-23,-1.19,0.86,-0.45,0.83,0.09
Little Boy,2018-02-23,-0.15,-0.14,0.33,0.43,-0.56
Bonnie & Clyde,2018-02-23,0.06,0.15,0.57,0.83,-0.34
Where We Start,2018-02-23,0.13,-0.81,0.21,0.63,-1.29
Winds of Change,2014-09-09,-0.32,0.03,-0.15,0.43,0.05
Mess Is Mine,2014-09-09,-0.29,0.61,-0.15,0.24,-0.94
Wasted Time,2014-09-09,-0.15,0.11,-0.15,0.43,-0.17
Riptide,2014-09-09,-0.50,0.65,-0.87,0.43,0.09
Who Am I,2014-09-09,0.40,0.49,-0.03,0.43,0.53
From Afar,2014-09-09,-1.05,-0.68,-1.77,0.04,-1.38
We All Die Trying to Get It Right,2014-09-09,-0.32,0.03,-1.77,0.04,-1.72
Georgia,2014-09-09,0.96,0.36,-1.41,0.43,-0.38
Red Eye,2014-09-09,-0.01,-0.14,-0.51,0.43,-1.55
First Time,2014-09-09,-0.01,1.32,0.09,0.43,-0.43
All I Ever Wanted,2014-09-09,-0.98,0.19,-0.63,0.63,-1.07
Best That I Can,2014-09-09,1.92,-0.77,-1.17,0.24,-1.55
My Kind of Man,2014-09-09,0.13,-1.27,-1.29,0.04,-1.90
Fire and the Flood,2014-09-09,-0.05,1.07,-0.15,1.03,-0.69
Straight into Your Arms,2014-09-09,-0.56,-0.06,0.15,0.63,-0.12
Genesis,2016-08-26,2.30,-1.48,-2.24,-1.55,-0.99
Royalty Capes,2016-08-26,-0.98,-0.64,0.99,0.04,0.27
Pain,2016-08-26,-0.39,-0.64,1.70,0.24,1.39
Property of Spitkicker.com,2016-08-26,-0.67,-0.81,1.46,-1.55,0.05
Memory of... (US),2016-08-26,2.13,-0.35,-0.51,-0.16,-1.07
CBGBS,2016-08-26,-0.36,-0.47,0.69,-0.76,0.35
Lord Intended,2016-08-26,1.58,0.44,-1.17,0.04,0.09
Snoopies,2016-08-26,-0.50,0.11,0.03,-0.16,0.66
Greyhounds,2016-08-26,-0.84,-0.52,0.45,-0.36,-0.90
Sexy Bitch,2016-08-26,-0.70,-1.02,1.58,-0.56,0.27
Trainwreck,2016-08-26,-0.74,0.19,0.87,0.04,1.65
Drawn,2016-08-26,-0.43,-1.06,0.51,-0.56,-0.34
Whoodeeni,2016-08-26,-0.56,0.36,1.52,-0.36,0.79
Nosed Up,2016-08-26,-0.84,-0.47,0.21,-0.76,1.87
You Go Dave (A Goldblatt Presentation),2016-08-26,-0.36,-1.39,-0.45,-1.75,0.01
Here in After,2016-08-26,-1.26,0.03,0.39,-0.16,0.35
Exodus,2016-08-26,-0.84,-0.43,-0.21,-0.36,-1.12
The Future,2004-10-05,-0.77,0.03,0.09,0.24,-0.04
Verbal Clap,2004-10-05,-0.60,1.36,-0.45,0.63,-0.25
Much More (feat. Yummy),2004-10-05,-0.81,0.86,0.33,1.03,-0.51
Shopping Bags (She Got from You),2004-10-05,-0.60,0.36,0.93,0.43,2.04
The Grind Date,2004-10-05,-0.94,1.41,0.09,1.23,1.26
Church,2004-10-05,-0.70,0.19,0.09,0.43,0.66
It's Like That (feat. Carl Thomas),2004-10-05,-0.67,0.24,-0.27,0.43,1.00
He Comes (feat. Ghostface),2004-10-05,0.30,1.07,-0.75,1.03,1.48
Days of Our Lives (feat. Common),2004-10-05,0.65,0.95,-0.57,0.43,1.82
Come On Down (feat. Flava Flav),2004-10-05,-0.63,1.45,0.75,0.83,0.31
No (feat. Butta Verses),2004-10-05,-1.05,0.32,-0.81,0.24,1.48
Rock Co.Kane Flow (feat. MF Doom),2004-10-05,-1.01,0.40,0.63,1.03,1.18
Shoomp (feat. Sean Paul),2004-10-05,-0.63,1.32,1.17,0.63,2.04
Higher We Go - Intro,2018-01-26,1.23,-0.10,1.17,1.03,-1.38
Supastars,2018-01-26,-1.39,0.44,0.93,1.03,-0.69
Narcos,2018-01-26,0.30,0.07,1.88,0.43,-1.07
BBO (Bad Bitches Only),2018-01-26,1.58,0.82,1.05,0.63,0.01
Auto Pilot,2018-01-26,0.47,0.61,1.76,0.63,-1.03
Walk It Talk It,2018-01-26,1.03,0.24,1.70,0.83,-0.34
Emoji A Chain,2018-01-26,0.82,-1.02,1.58,0.24,-0.47
CC,2018-01-26,0.61,0.61,1.35,0.43,1.43
Stir Fry,2018-01-26,2.27,1.03,1.17,0.83,0.05
Too Much Jewelry,2018-01-26,-1.43,-1.02,0.39,0.04,-1.16
Gang Gang,2018-01-26,2.20,0.11,0.09,-0.16,0.14
White Sand,2018-01-26,0.89,0.03,1.23,0.24,-0.30
Crown the Kings,2018-01-26,0.92,0.53,1.46,0.63,-0.51
Flooded,2018-01-26,0.65,-0.27,1.94,0.43,-0.73
Beast,2018-01-26,0.71,-0.47,1.58,0.24,-1.72
Open It Up,2018-01-26,0.30,1.15,0.81,1.03,-0.21
MotorSport,2018-01-26,0.75,-0.22,1.64,0.83,-1.38
Movin' Too Fast,2018-01-26,0.51,0.03,1.46,0.43,-1.33
Work Hard,2018-01-26,1.09,0.44,1.05,0.83,-0.64
Notice Me,2018-01-26,1.72,-0.97,1.05,-0.16,-0.08
Too Playa,2018-01-26,0.75,-0.27,0.57,0.24,-1.81
Made Men,2018-01-26,1.34,0.61,1.17,1.23,-0.90
Top Down On Da NAWF,2018-01-26,1.20,-0.56,1.17,0.24,-1.51
Culture National Anthem - Outro,2018-01-26,0.82,-0.10,0.51,0.43,-0.90
Culture (feat. DJ Khaled),2017-01-27,0.58,0.53,1.23,0.83,-0.73
T-Shirt,2017-01-27,0.78,0.49,1.46,1.03,0.01
Call Casting,2017-01-27,0.47,0.65,1.35,0.83,0.05
Bad and Boujee (feat. Lil Uzi Vert),2017-01-27,0.37,0.40,1.82,0.83,-1.33
Get Right Witcha,2017-01-27,0.71,0.70,1.94,0.63,0.57
